date,hour,Average Wait Time,Max WaitTime
10/19/2019,2000 - 2100,14,41
10/19/2019,2100 - 2200,6,22
10/19/2019,0500 - 0600,47,102
10/19/2019,0600 - 0700,29,94
10/19/2019,0700 - 0800,23,110
10/19/2019,0800 - 0900,13,34
10/19/2019,1000 - 1100,10,31
10/19/2019,1100 - 1200,9,26
10/19/2019,1200 - 1300,26,89
10/19/2019,1300 - 1400,17,47
10/19/2019,1400 - 1500,29,60
10/19/2019,1500 - 1600,23,67
10/19/2019,1600 - 1700,23,49
10/19/2019,1700 - 1800,12,29
10/19/2019,1800 - 1900,5,22
10/19/2019,1900 - 2000,16,43
10/19/2019,2000 - 2100,17,45
10/20/2019,0000 - 0100,6,12
10/20/2019,0100 - 0200,7,18
10/20/2019,0900 - 1000,6,17
10/20/2019,1000 - 1100,15,107
10/20/2019,1100 - 1200,16,48
10/20/2019,1200 - 1300,11,27
10/20/2019,1300 - 1400,10,33
10/20/2019,1400 - 1500,14,85
10/20/2019,1500 - 1600,14,39
10/20/2019,1600 - 1700,9,50
10/20/2019,1800 - 1900,27,81
10/20/2019,1900 - 2000,25,76
10/20/2019,2000 - 2100,15,57
10/20/2019,2100 - 2200,17,34
10/20/2019,2200 - 2300,9,36
10/20/2019,2300 - 0000,4,12
10/20/2019,0600 - 0700,23,70
10/20/2019,0700 - 0800,13,38
10/20/2019,0800 - 0900,8,40
10/20/2019,0900 - 1000,11,32
10/20/2019,1000 - 1100,13,24
10/20/2019,1100 - 1200,11,37
10/20/2019,1300 - 1400,12,34
10/20/2019,1400 - 1500,14,46
10/20/2019,1500 - 1600,15,36
10/20/2019,1600 - 1700,15,42
10/20/2019,1700 - 1800,10,25
10/20/2019,1900 - 2000,11,29
10/20/2019,2000 - 2100,12,59
10/20/2019,2100 - 2200,6,14
10/21/2019,0000 - 0100,5,13
10/21/2019,0900 - 1000,22,56
10/21/2019,1000 - 1100,12,36
10/21/2019,1100 - 1200,15,57
10/21/2019,1200 - 1300,11,27
10/21/2019,1400 - 1500,14,75
10/21/2019,1500 - 1600,12,73
10/21/2019,1600 - 1700,14,56
10/21/2019,1700 - 1800,14,37
10/21/2019,1800 - 1900,13,40
10/21/2019,1900 - 2000,14,48
10/21/2019,2000 - 2100,14,36
10/21/2019,2100 - 2200,10,34
10/21/2019,0500 - 0600,27,46
10/21/2019,0600 - 0700,12,28
10/21/2019,0700 - 0800,7,22
10/21/2019,0800 - 0900,9,24
10/21/2019,0900 - 1000,11,77
10/21/2019,1000 - 1100,15,83
10/21/2019,1100 - 1200,19,46
10/21/2019,1200 - 1300,29,72
10/21/2019,1300 - 1400,24,123
10/21/2019,1400 - 1500,28,51
10/21/2019,1500 - 1600,10,22
10/21/2019,1600 - 1700,11,35
10/21/2019,1800 - 1900,7,17
10/21/2019,1900 - 2000,26,72
10/21/2019,2000 - 2100,33,77
10/22/2019,0000 - 0100,9,23
10/22/2019,0900 - 1000,10,24
10/22/2019,1000 - 1100,12,26
10/22/2019,1100 - 1200,17,43
10/22/2019,1200 - 1300,21,57
10/22/2019,1300 - 1400,14,35
10/22/2019,1400 - 1500,15,70
10/22/2019,1600 - 1700,11,40
10/22/2019,1700 - 1800,16,44
10/22/2019,1800 - 1900,15,52
10/22/2019,1900 - 2000,17,55
10/22/2019,2000 - 2100,12,31
10/22/2019,2100 - 2200,11,22
10/22/2019,2200 - 2300,7,29
10/22/2019,0500 - 0600,38,52
10/22/2019,0600 - 0700,12,27
10/22/2019,0800 - 0900,6,20
10/22/2019,0900 - 1000,13,38
10/22/2019,1000 - 1100,7,26
10/22/2019,1100 - 1200,24,52
10/22/2019,1200 - 1300,21,69
10/22/2019,1300 - 1400,15,40
10/22/2019,1400 - 1500,17,48
10/22/2019,1500 - 1600,18,60
10/22/2019,1600 - 1700,37,81
10/22/2019,1700 - 1800,22,49
10/22/2019,1800 - 1900,7,16
10/22/2019,1900 - 2000,9,30
10/22/2019,2000 - 2100,26,73
10/22/2019,2100 - 2200,20,32
10/23/2019,0000 - 0100,11,18
10/23/2019,0100 - 0200,6,20
10/23/2019,0800 - 0900,16,28
10/23/2019,0900 - 1000,2,7
10/23/2019,1000 - 1100,9,30
10/23/2019,1100 - 1200,13,61
10/23/2019,1200 - 1300,11,34
10/23/2019,1300 - 1400,9,25
10/23/2019,1400 - 1500,14,68
10/23/2019,1500 - 1600,6,30
10/23/2019,1600 - 1700,10,29
10/23/2019,1700 - 1800,11,38
10/23/2019,1800 - 1900,15,46
10/23/2019,1900 - 2000,13,43
10/23/2019,2000 - 2100,14,47
10/23/2019,2100 - 2200,7,45
10/23/2019,0500 - 0600,34,87
10/23/2019,0600 - 0700,29,65
10/23/2019,0700 - 0800,21,62
10/23/2019,0800 - 0900,13,41
10/23/2019,0900 - 1000,10,36
10/23/2019,1000 - 1100,6,27
10/23/2019,1100 - 1200,11,31
10/23/2019,1200 - 1300,24,78
10/23/2019,1300 - 1400,16,130
10/23/2019,1400 - 1500,21,60
10/23/2019,1500 - 1600,20,46
10/23/2019,1600 - 1700,27,72
10/23/2019,1800 - 1900,6,19
10/23/2019,1900 - 2000,16,44
10/23/2019,2000 - 2100,16,41
10/23/2019,2100 - 2200,12,21
10/24/2019,0000 - 0100,4,19
10/24/2019,0800 - 0900,15,31
10/24/2019,0900 - 1000,4,10
10/24/2019,1000 - 1100,10,27
10/24/2019,1100 - 1200,15,64
10/24/2019,1200 - 1300,11,78
10/24/2019,1300 - 1400,13,39
10/24/2019,1400 - 1500,12,70
10/24/2019,1500 - 1600,8,29
10/24/2019,1600 - 1700,10,38
10/24/2019,1700 - 1800,15,34
10/24/2019,1800 - 1900,12,30
10/24/2019,1900 - 2000,24,91
10/24/2019,2000 - 2100,18,59
10/24/2019,2200 - 2300,4,19
10/24/2019,2300 - 0000,5,14
10/24/2019,0500 - 0600,12,25
10/24/2019,0600 - 0700,14,35
10/24/2019,0800 - 0900,8,23
10/24/2019,0900 - 1000,8,28
10/24/2019,1000 - 1100,15,43
10/24/2019,1100 - 1200,17,36
10/24/2019,1200 - 1300,37,154
10/24/2019,1300 - 1400,18,53
10/24/2019,1400 - 1500,23,60
10/24/2019,1500 - 1600,16,48
10/24/2019,1600 - 1700,21,77
10/24/2019,1800 - 1900,14,25
10/24/2019,1900 - 2000,13,58
10/24/2019,2000 - 2100,25,82
10/25/2019,0000 - 0100,8,17
10/25/2019,0900 - 1000,13,34
10/25/2019,1000 - 1100,12,25
10/25/2019,1100 - 1200,10,68
10/25/2019,1200 - 1300,11,40
10/25/2019,1300 - 1400,8,21
10/25/2019,1400 - 1500,12,70
10/25/2019,1500 - 1600,13,56
10/25/2019,1600 - 1700,10,43
10/25/2019,1700 - 1800,14,40
10/25/2019,1800 - 1900,16,52
10/25/2019,1900 - 2000,12,36
10/25/2019,2000 - 2100,29,88
10/25/2019,2100 - 2200,7,19
10/25/2019,2200 - 2300,6,24
10/25/2019,2300 - 0000,6,27
10/25/2019,0600 - 0700,18,68
10/25/2019,0700 - 0800,20,75
10/25/2019,0800 - 0900,13,39
10/25/2019,0900 - 1000,12,35
10/25/2019,1000 - 1100,5,18
10/25/2019,1100 - 1200,10,63
10/25/2019,1200 - 1300,19,92
10/25/2019,1300 - 1400,10,25
10/25/2019,1400 - 1500,12,31
10/25/2019,1500 - 1600,15,33
10/25/2019,1600 - 1700,18,72
10/25/2019,1700 - 1800,19,32
10/25/2019,1800 - 1900,21,41
10/25/2019,1900 - 2000,9,27
10/25/2019,2000 - 2100,14,43
10/25/2019,2100 - 2200,19,52
10/26/2019,0000 - 0100,5,15
10/26/2019,0900 - 1000,12,52
10/26/2019,1000 - 1100,15,58
10/26/2019,1100 - 1200,13,89
10/26/2019,1200 - 1300,11,28
10/26/2019,1300 - 1400,15,93
10/26/2019,1400 - 1500,22,104
10/26/2019,1500 - 1600,14,61
10/26/2019,1600 - 1700,13,44
10/26/2019,1700 - 1800,18,55
