date,hour,Average Wait Time,Max WaitTime,0-15,16-30,31-45,46-60,61-90,91-120,120 plus,Excluded,Total,Flights,Booths
10/11/2019,1100 - 1200,42,101,253,163,76,57,180,91,0,26,846,3,23
10/11/2019,1200 - 1300,43,105,186,27,21,13,122,55,0,13,437,2,22
10/11/2019,1300 - 1400,31,70,204,35,45,114,63,0,0,12,473,2,22
10/11/2019,1400 - 1500,32,78,471,260,183,219,239,0,0,37,1409,5,24
10/11/2019,1600 - 1700,15,47,372,261,50,8,0,0,0,21,712,4,17
10/11/2019,1700 - 1800,26,62,210,221,183,76,6,0,0,20,716,2,13
10/11/2019,1900 - 2000,19,61,348,386,60,36,1,0,0,27,858,4,13
10/11/2019,2000 - 2100,27,80,284,187,161,100,62,0,0,26,820,3,15
10/11/2019,2200 - 2300,10,42,232,36,24,0,0,0,0,16,308,2,6
10/11/2019,2300 - 0000,8,25,115,22,0,0,0,0,0,8,145,1,5
10/11/2019,0500 - 0600,13,42,204,98,23,0,0,0,0,18,343,1,11
10/11/2019,0600 - 0700,20,75,218,174,88,16,16,0,0,13,525,3,10
10/11/2019,0700 - 0800,21,96,421,181,29,31,65,11,0,28,766,4,13
10/11/2019,0800 - 0900,21,84,390,130,85,18,66,0,0,18,707,4,18
10/11/2019,0900 - 1000,13,53,299,119,8,22,0,0,0,15,463,2,19
10/11/2019,1000 - 1100,15,47,344,168,65,9,0,0,0,15,601,2,16
10/11/2019,1100 - 1200,9,24,316,68,0,0,0,0,0,7,391,2,13
10/11/2019,1200 - 1300,23,73,342,263,130,75,33,0,0,28,871,3,17
10/11/2019,1300 - 1400,16,43,174,91,63,0,0,0,0,6,334,1,18
10/11/2019,1400 - 1500,12,41,356,76,28,0,0,0,0,11,471,2,15
10/11/2019,1500 - 1600,16,69,556,214,80,51,3,0,0,29,933,5,20
10/11/2019,1600 - 1700,32,91,321,310,185,142,155,3,0,32,1148,5,22
10/11/2019,1700 - 1800,23,62,147,117,3,58,18,0,0,4,347,1,23
10/11/2019,1800 - 1900,16,36,128,125,21,0,0,0,0,7,281,1,20
10/11/2019,1900 - 2000,8,25,164,27,0,0,0,0,0,11,202,1,19
10/11/2019,2000 - 2100,21,82,665,401,92,61,119,0,0,39,1377,6,19
10/11/2019,2100 - 2200,27,73,32,60,10,7,18,0,0,4,131,1,16
10/12/2019,0100 - 0200,8,23,95,13,0,0,0,0,0,7,115,1,5
10/12/2019,0900 - 1000,17,42,189,124,53,0,0,0,0,12,378,2,19
10/12/2019,1000 - 1100,14,33,213,153,4,0,0,0,0,11,381,2,19
10/12/2019,1100 - 1200,19,42,234,146,100,0,0,0,0,13,493,2,20
10/12/2019,1200 - 1300,30,73,324,206,140,157,121,0,0,30,978,4,20
10/12/2019,1400 - 1500,33,98,441,226,187,57,224,31,0,34,1200,4,24
10/12/2019,1500 - 1600,22,70,372,139,40,78,57,0,0,24,710,3,22
10/12/2019,1600 - 1700,7,17,143,14,0,0,0,0,0,3,160,1,5
10/12/2019,1700 - 1800,17,46,507,382,117,5,0,0,0,28,1039,4,16
10/12/2019,1800 - 1900,18,44,254,227,82,0,0,0,0,18,581,2,17
10/12/2019,1900 - 2000,9,25,387,58,0,0,0,0,0,13,458,3,16
10/12/2019,2000 - 2100,26,61,176,328,175,75,4,0,0,18,776,3,17
10/12/2019,2100 - 2200,11,29,120,30,0,0,0,0,0,5,155,1,6
10/12/2019,2200 - 2300,8,35,357,50,13,0,0,0,0,23,443,2,5
10/12/2019,0500 - 0600,15,70,273,119,46,12,4,0,0,18,472,2,12
10/12/2019,0600 - 0700,17,68,230,207,9,19,7,0,0,16,488,2,9
10/12/2019,0700 - 0800,29,101,243,200,71,41,78,24,0,19,676,3,15
10/12/2019,0800 - 0900,33,106,224,47,140,15,44,49,0,18,537,3,13
10/12/2019,0900 - 1000,21,63,141,19,76,11,7,0,0,7,261,1,10
10/12/2019,1000 - 1100,18,50,218,274,60,12,0,0,0,15,579,3,12
10/12/2019,1100 - 1200,21,91,391,196,86,30,58,3,0,22,786,3,13
10/12/2019,1200 - 1300,27,87,272,187,80,43,105,0,0,22,709,2,16
10/12/2019,1300 - 1400,16,64,200,85,2,27,11,0,0,9,334,1,11
10/12/2019,1400 - 1500,20,73,369,198,72,45,34,0,0,24,742,3,18
10/12/2019,1500 - 1600,14,74,449,186,28,29,10,0,0,23,725,4,16
10/12/2019,1600 - 1700,29,103,523,547,131,36,166,83,0,50,1536,6,21
10/12/2019,1700 - 1800,17,41,257,171,55,0,0,0,0,10,493,2,17
10/12/2019,1900 - 2000,13,36,482,219,25,0,0,0,0,18,744,3,17
10/12/2019,2000 - 2100,11,25,220,88,0,0,0,0,0,8,316,2,16
10/12/2019,2100 - 2200,9,22,147,30,0,0,0,0,0,4,181,1,14
10/13/2019,0000 - 0100,18,42,92,105,26,0,0,0,0,5,228,2,4
10/13/2019,0900 - 1000,20,52,135,163,72,7,0,0,0,15,392,2,15
10/13/2019,1000 - 1100,19,46,201,138,90,1,0,0,0,14,444,2,12
10/13/2019,1100 - 1200,34,96,278,182,92,149,143,9,0,27,880,3,18
10/13/2019,1200 - 1300,48,100,93,19,5,41,65,37,0,5,265,1,17
10/13/2019,1300 - 1400,16,43,364,153,81,0,0,0,0,12,610,2,20
10/13/2019,1400 - 1500,37,94,342,534,242,162,369,18,0,48,1715,6,24
10/13/2019,1500 - 1600,15,31,120,95,3,0,0,0,0,6,224,1,25
10/13/2019,1600 - 1700,10,26,663,153,0,0,0,0,0,20,836,4,25
10/13/2019,1700 - 1800,12,32,428,168,15,0,0,0,0,20,631,2,22
10/13/2019,1800 - 1900,16,48,295,203,39,2,0,0,0,17,556,2,23
10/13/2019,1900 - 2000,17,47,421,411,80,4,0,0,0,31,947,4,19
10/13/2019,2000 - 2100,21,48,186,215,97,13,0,0,0,14,525,2,17
10/13/2019,2100 - 2200,10,48,277,41,18,7,0,0,0,17,360,2,11
10/13/2019,0500 - 0600,35,77,41,236,160,85,74,0,0,20,616,2,10
10/13/2019,0600 - 0700,27,80,173,236,116,65,31,0,0,18,639,3,11
10/13/2019,0700 - 0800,16,47,237,138,65,6,0,0,0,15,461,2,11
10/13/2019,0800 - 0900,11,28,272,106,0,0,0,0,0,12,390,2,13
10/13/2019,0900 - 1000,15,42,303,112,66,0,0,0,0,11,492,2,12
10/13/2019,1100 - 1200,12,33,507,209,34,0,0,0,0,22,772,3,14
10/13/2019,1200 - 1300,23,59,375,199,262,72,0,0,0,27,935,3,18
