date,hour,Average Wait Time,Max Wait Time,time
10/15/2019,0800 - 0900,14,39,296
10/15/2019,0900 - 1000,31,88,297
10/15/2019,1100 - 1200,21,32,299
10/15/2019,1200 - 1300,28,94,300
10/15/2019,1300 - 1400,36,87,301
10/15/2019,1400 - 1500,26,80,302
10/15/2019,1500 - 1600,36,93,303
10/15/2019,1600 - 1700,37,80,304
10/15/2019,1900 - 2000,44,144,307
10/15/2019,2000 - 2100,54,110,308
10/16/2019,0000 - 0100,11,27,312
10/16/2019,0100 - 0200,12,24,313
10/16/2019,0900 - 1000,19,45,321
10/16/2019,1000 - 1100,15,34,322
10/16/2019,1100 - 1200,32,82,323
10/16/2019,1200 - 1300,34,74,324
10/16/2019,1300 - 1400,13,31,325
10/16/2019,1400 - 1500,30,76,326
10/16/2019,1500 - 1600,48,81,327
10/16/2019,1600 - 1700,15,32,328
10/16/2019,1700 - 1800,27,60,329
10/16/2019,1800 - 1900,35,52,330
10/16/2019,1900 - 2000,25,63,331
10/16/2019,2000 - 2100,22,37,332
10/16/2019,2100 - 2200,47,104,333
10/16/2019,0500 - 0600,32,106,317
10/16/2019,0600 - 0700,49,130,318
10/16/2019,0700 - 0800,51,127,319
10/16/2019,0800 - 0900,41,99,320
10/16/2019,0900 - 1000,24,64,321
10/16/2019,1000 - 1100,31,56,322
10/16/2019,1100 - 1200,12,24,323
10/16/2019,1200 - 1300,32,84,324
10/16/2019,1300 - 1400,24,48,325
10/16/2019,1400 - 1500,15,48,326
10/16/2019,1500 - 1600,22,49,327
10/16/2019,1600 - 1700,26,62,328
10/16/2019,1700 - 1800,25,45,329
10/16/2019,1800 - 1900,14,30,330
10/16/2019,1900 - 2000,15,59,331
10/16/2019,2000 - 2100,20,52,332
10/16/2019,2100 - 2200,14,30,333
10/17/2019,0000 - 0100,19,31,336
10/17/2019,0200 - 0300,16,33,338
10/17/2019,0800 - 0900,27,41,344
10/17/2019,0900 - 1000,20,35,345
10/17/2019,1000 - 1100,40,86,346
10/17/2019,1200 - 1300,39,84,348
10/17/2019,1300 - 1400,24,55,349
10/17/2019,1400 - 1500,44,94,350
10/17/2019,1500 - 1600,31,57,351
10/17/2019,1600 - 1700,16,38,352
10/17/2019,1700 - 1800,20,46,353
10/17/2019,1800 - 1900,52,103,354
10/17/2019,1900 - 2000,46,74,355
10/17/2019,2200 - 2300,19,38,358
10/17/2019,0500 - 0600,29,73,341
10/17/2019,0600 - 0700,25,64,342
10/17/2019,0700 - 0800,15,43,343
10/17/2019,0800 - 0900,16,38,344
10/17/2019,0900 - 1000,20,83,345
10/17/2019,1000 - 1100,13,25,346
10/17/2019,1200 - 1300,25,81,348
10/17/2019,1300 - 1400,21,58,349
10/17/2019,1400 - 1500,32,85,350
10/17/2019,1500 - 1600,19,42,351
10/17/2019,1600 - 1700,24,54,352
10/17/2019,1700 - 1800,16,36,353
10/17/2019,1800 - 1900,16,34,354
10/17/2019,1900 - 2000,15,49,355
10/17/2019,2000 - 2100,19,46,356
10/18/2019,0000 - 0100,16,34,360
10/18/2019,0800 - 0900,43,58,368
10/18/2019,0900 - 1000,9,17,369
10/18/2019,1000 - 1100,24,52,370
10/18/2019,1200 - 1300,23,46,372
10/18/2019,1300 - 1400,16,32,373
10/18/2019,1400 - 1500,25,65,374
10/18/2019,1500 - 1600,27,50,375
10/18/2019,1600 - 1700,8,13,376
10/18/2019,1700 - 1800,33,79,377
10/18/2019,1800 - 1900,31,84,378
10/18/2019,1900 - 2000,40,84,379
10/18/2019,2100 - 2200,38,107,381
10/18/2019,2300 - 0000,14,31,383
10/18/2019,0500 - 0600,36,76,365
10/18/2019,0600 - 0700,46,115,366
10/18/2019,0700 - 0800,32,107,367
10/18/2019,0800 - 0900,32,84,368
10/18/2019,0900 - 1000,30,75,369
10/18/2019,1000 - 1100,8,17,370
10/18/2019,1100 - 1200,11,23,371
10/18/2019,1200 - 1300,30,97,372
10/18/2019,1300 - 1400,30,85,373
10/18/2019,1400 - 1500,40,118,374
10/18/2019,1500 - 1600,24,102,375
10/18/2019,1600 - 1700,39,89,376
10/18/2019,1900 - 2000,14,28,379
10/18/2019,2000 - 2100,30,77,380
10/19/2019,0000 - 0100,16,33,384
10/19/2019,0900 - 1000,26,55,393
10/19/2019,1000 - 1100,18,35,394
10/19/2019,1100 - 1200,56,105,395
