date,hour,Average Wait Time,Max WaitTime
10/18/2019,0800 - 0900,43,58
10/18/2019,0900 - 1000,9,17
10/18/2019,1000 - 1100,24,52
10/18/2019,1200 - 1300,23,46
10/18/2019,1300 - 1400,16,32
10/18/2019,1400 - 1500,25,65
10/18/2019,1500 - 1600,27,50
10/18/2019,1600 - 1700,8,13
10/18/2019,1700 - 1800,33,79
10/18/2019,1800 - 1900,31,84
10/18/2019,1900 - 2000,40,84
10/18/2019,2100 - 2200,38,107
10/18/2019,2300 - 0000,14,31
10/18/2019,0500 - 0600,36,76
10/18/2019,0600 - 0700,46,115
10/18/2019,0700 - 0800,32,107
10/18/2019,0800 - 0900,32,84
10/18/2019,0900 - 1000,30,75
10/18/2019,1000 - 1100,8,17
10/18/2019,1100 - 1200,11,23
10/18/2019,1200 - 1300,30,97
10/18/2019,1300 - 1400,30,85
10/18/2019,1400 - 1500,40,118
10/18/2019,1500 - 1600,24,102
10/18/2019,1600 - 1700,39,89
10/18/2019,1900 - 2000,14,28
10/18/2019,2000 - 2100,30,77
10/19/2019,0000 - 0100,16,33
10/19/2019,0900 - 1000,26,55
10/19/2019,1000 - 1100,18,35
10/19/2019,1100 - 1200,56,105
10/19/2019,1200 - 1300,25,47
10/19/2019,1300 - 1400,20,48
10/19/2019,1400 - 1500,28,57
10/19/2019,1500 - 1600,31,64
10/19/2019,1600 - 1700,29,50
10/19/2019,1700 - 1800,21,41
10/19/2019,1800 - 1900,25,51
10/19/2019,1900 - 2000,24,51
10/19/2019,2000 - 2100,26,41
10/19/2019,2100 - 2200,11,28
10/19/2019,0500 - 0600,45,102
10/19/2019,0600 - 0700,46,117
10/19/2019,0700 - 0800,39,121
10/19/2019,0800 - 0900,25,69
10/19/2019,1000 - 1100,15,52
10/19/2019,1100 - 1200,13,28
10/19/2019,1200 - 1300,30,124
10/19/2019,1300 - 1400,58,158
10/19/2019,1400 - 1500,57,134
10/19/2019,1500 - 1600,72,138
10/19/2019,1600 - 1700,47,100
10/19/2019,1700 - 1800,20,49
10/19/2019,1800 - 1900,16,41
10/19/2019,1900 - 2000,21,43
10/19/2019,2000 - 2100,22,65
10/20/2019,0000 - 0100,8,19
10/20/2019,0100 - 0200,11,19
10/20/2019,0900 - 1000,11,19
10/20/2019,1000 - 1100,49,120
10/20/2019,1100 - 1200,40,70
10/20/2019,1200 - 1300,25,36
10/20/2019,1300 - 1400,16,38
10/20/2019,1400 - 1500,36,86
10/20/2019,1500 - 1600,45,77
10/20/2019,1600 - 1700,29,55
10/20/2019,1800 - 1900,34,107
10/20/2019,1900 - 2000,45,105
10/20/2019,2000 - 2100,33,60
