date,hour,Average Wait Time,Max Wait Time,time
10/14/2019,1400 - 1500,13,43,278
10/14/2019,1500 - 1600,21,40,279
10/14/2019,1600 - 1700,12,51,280
10/14/2019,1700 - 1800,13,18,281
10/14/2019,1800 - 1900,9,16,282
10/14/2019,1900 - 2000,14,38,283
10/14/2019,2000 - 2100,16,63,284
10/14/2019,2100 - 2200,9,17,285
10/15/2019,0000 - 0100,20,42,288
10/15/2019,0800 - 0900,39,60,296
10/15/2019,0900 - 1000,17,45,297
10/15/2019,1000 - 1100,15,38,298
10/15/2019,1100 - 1200,11,42,299
10/15/2019,1200 - 1300,13,25,300
10/15/2019,1300 - 1400,19,36,301
10/15/2019,1400 - 1500,18,61,302
10/15/2019,1500 - 1600,10,27,303
10/15/2019,1600 - 1700,13,38,304
10/15/2019,1700 - 1800,7,26,305
10/15/2019,1800 - 1900,13,49,306
10/15/2019,1900 - 2000,12,36,307
10/15/2019,2000 - 2100,7,15,308
10/15/2019,2100 - 2200,7,41,309
10/15/2019,0500 - 0600,35,86,293
10/15/2019,0600 - 0700,29,62,294
10/15/2019,0700 - 0800,13,42,295
10/15/2019,0800 - 0900,16,35,296
10/15/2019,0900 - 1000,23,66,297
10/15/2019,1100 - 1200,11,29,299
10/15/2019,1200 - 1300,29,81,300
10/15/2019,1300 - 1400,31,72,301
10/15/2019,1400 - 1500,24,61,302
10/15/2019,1500 - 1600,19,68,303
10/15/2019,1600 - 1700,21,57,304
10/15/2019,1900 - 2000,31,106,307
10/15/2019,2000 - 2100,40,82,308
10/16/2019,0000 - 0100,5,13,312
10/16/2019,0100 - 0200,6,20,313
10/16/2019,0900 - 1000,14,36,321
10/16/2019,1000 - 1100,12,31,322
10/16/2019,1100 - 1200,11,38,323
10/16/2019,1200 - 1300,11,74,324
10/16/2019,1300 - 1400,9,30,325
10/16/2019,1400 - 1500,12,65,326
10/16/2019,1500 - 1600,17,68,327
10/16/2019,1600 - 1700,9,31,328
10/16/2019,1700 - 1800,19,37,329
10/16/2019,1800 - 1900,23,44,330
10/16/2019,1900 - 2000,12,49,331
10/16/2019,2000 - 2100,12,40,332
10/16/2019,2100 - 2200,17,65,333
10/16/2019,0500 - 0600,35,105,317
10/16/2019,0600 - 0700,36,85,318
10/16/2019,0700 - 0800,32,68,319
10/16/2019,0800 - 0900,28,77,320
10/16/2019,0900 - 1000,23,52,321
10/16/2019,1000 - 1100,27,44,322
10/16/2019,1100 - 1200,10,24,323
10/16/2019,1200 - 1300,21,60,324
10/16/2019,1300 - 1400,14,26,325
10/16/2019,1400 - 1500,13,32,326
10/16/2019,1500 - 1600,12,27,327
10/16/2019,1600 - 1700,21,62,328
10/16/2019,1700 - 1800,21,41,329
10/16/2019,1800 - 1900,11,26,330
10/16/2019,1900 - 2000,14,50,331
10/16/2019,2000 - 2100,19,44,332
10/16/2019,2100 - 2200,14,27,333
10/17/2019,0000 - 0100,11,22,336
10/17/2019,0200 - 0300,8,33,338
10/17/2019,0800 - 0900,16,28,344
10/17/2019,0900 - 1000,9,25,345
10/17/2019,1000 - 1100,12,49,346
10/17/2019,1200 - 1300,11,57,348
10/17/2019,1300 - 1400,16,57,349
10/17/2019,1400 - 1500,13,68,350
10/17/2019,1500 - 1600,12,35,351
